episode,total_reward,mean_loss,mean_wait,mean_q,epsilon,num_edges,num_lanes,total_lane_length
1,-53.9013,0.158336,4.23,-0.474,1.0000,6934,8331,262213.34
2,-60.9604,0.148034,6.19,-1.456,0.9950,6934,8331,262213.34
3,-61.5259,0.158096,6.57,-1.367,0.9900,6934,8331,262213.34
4,-46.5537,0.155985,3.99,-1.268,0.9851,6934,8331,262213.34
5,-50.7687,0.147197,3.85,-1.186,0.9801,6934,8331,262213.34
6,-65.6266,0.144719,6.62,-1.098,0.9752,6934,8331,262213.34
7,-46.8681,0.140386,3.49,-1.092,0.9704,6934,8331,262213.34
8,-53.7654,0.135612,4.91,-1.112,0.9655,6934,8331,262213.34
9,-55.8799,0.133433,4.90,-1.372,0.9607,6934,8331,262213.34
10,-51.1451,0.131611,6.00,-1.652,0.9559,6934,8331,262213.34
11,-53.7195,0.130403,4.74,-1.877,0.9511,6934,8331,262213.34
12,-56.1100,0.130034,5.27,-2.133,0.9464,6934,8331,262213.34
13,-56.6707,0.129669,4.43,-2.133,0.9416,6934,8331,262213.34
14,-53.1079,0.129232,5.24,-2.203,0.9369,6934,8331,262213.34
15,-52.2799,0.127484,4.54,-2.362,0.9322,6934,8331,262213.34
16,-54.3670,0.127875,6.36,-2.460,0.9276,6934,8331,262213.34
17,-53.9623,0.130292,6.09,-2.479,0.9229,6934,8331,262213.34
18,-56.9824,0.132277,4.53,-2.261,0.9183,6934,8331,262213.34
19,-53.5982,0.130491,5.18,-2.267,0.9137,6934,8331,262213.34
20,-51.0290,0.129725,4.57,-2.403,0.9092,6934,8331,262213.34
21,-50.1865,0.129093,4.23,-2.285,0.9046,6934,8331,262213.34
22,-48.6541,0.128857,3.40,-2.123,0.9001,6934,8331,262213.34
23,-48.7290,0.128190,5.34,-2.036,0.8956,6934,8331,262213.34
24,-49.1217,0.127596,3.57,-2.035,0.8911,6934,8331,262213.34
25,-47.9286,0.127764,4.09,-2.082,0.8867,6934,8331,262213.34
26,-49.8855,0.125924,4.47,-1.918,0.8822,6934,8331,262213.34
27,-53.3869,0.127333,5.73,-1.995,0.8778,6934,8331,262213.34
28,-52.2334,0.128535,4.50,-2.013,0.8734,6934,8331,262213.34
29,-56.5901,0.127851,6.07,-1.836,0.8691,6934,8331,262213.34
30,-47.8421,0.128310,4.25,-1.920,0.8647,6934,8331,262213.34
31,-56.7991,0.128651,6.06,-2.066,0.8604,6934,8331,262213.34
32,-59.0674,0.128763,4.97,-1.952,0.8561,6934,8331,262213.34
33,-58.0728,0.130662,7.64,-1.999,0.8518,6934,8331,262213.34
34,-59.5164,0.131251,4.80,-1.925,0.8475,6934,8331,262213.34
35,-51.7491,0.130819,5.13,-1.974,0.8433,6934,8331,262213.34
36,-56.5145,0.132946,5.30,-1.989,0.8391,6934,8331,262213.34
37,-57.4496,0.130196,4.72,-1.872,0.8349,6934,8331,262213.34
38,-56.6520,0.130250,6.37,-1.743,0.8307,6934,8331,262213.34
39,-51.8555,0.132105,5.03,-1.930,0.8266,6934,8331,262213.34
40,-56.1579,0.131488,6.41,-1.886,0.8224,6934,8331,262213.34
41,-58.8989,0.132310,5.69,-2.064,0.8183,6934,8331,262213.34
42,-53.2131,0.133832,5.67,-2.074,0.8142,6934,8331,262213.34
43,-55.7202,0.131370,5.26,-1.826,0.8102,6934,8331,262213.34
44,-57.7155,0.131433,5.42,-1.865,0.8061,6934,8331,262213.34
45,-58.3104,0.131711,6.88,-1.732,0.8021,6934,8331,262213.34
46,-43.5536,0.133031,4.46,-1.733,0.7981,6934,8331,262213.34
47,-47.3666,0.129387,5.10,-1.606,0.7941,6934,8331,262213.34
48,-50.3117,0.129301,4.79,-1.479,0.7901,6934,8331,262213.34
49,-59.1914,0.129872,5.04,-1.562,0.7862,6934,8331,262213.34
50,-48.2176,0.130158,3.76,-1.600,0.7822,6934,8331,262213.34
