tl_id,x,y
1140220198,1282.14,1698.61
11786506847,249.66,1218.75
12185478575,1726.54,759.12
12565503439,512.15,1662.41
12565503441,530.0,1663.32
12565503451,71.9,1628.96
1505012108,1517.24,1595.06
1505012114,1506.98,1597.95
1672906030,1455.27,189.95
1672906038,1019.09,282.74
1672906046,1026.86,343.54
1933369991,2039.06,371.3
1995669563,325.3,1564.36
2043097295,999.42,1344.6
2050931507,354.06,1562.96
2364680319,194.7,1597.78
244380320,1182.47,297.66
2507433117,393.07,1662.58
2539719783,97.26,581.16
2539719787,75.0,577.59
2554070679,971.28,350.68
260240803,1194.73,278.64
2609025103,1678.14,581.77
2609618833,134.56,838.24
2612435144,194.14,832.14
2700771249,656.73,2131.3
2737317148,1365.5,1025.84
2751243359,894.64,1214.96
3014990779,2596.02,1322.72
319441885,164.29,835.19
323404440,176.54,833.95
338639742,998.35,381.78
3404027694,162.09,1219.66
3799089087,147.29,836.77
4007274727,427.08,1786.72
4202524116,1350.03,43.49
4202524117,1360.83,50.25
4202524124,1340.95,80.45
4202524127,1221.9,237.5
4202524128,1233.13,244.3
4206263950,1435.38,2517.7
4335733876,1845.49,2408.71
4335733877,1958.86,2418.54
4335733878,1960.87,2436.79
4335735091,1853.29,2463.4
4493660382,1673.15,1272.59
4514855869,1037.91,890.79
4525670535,85.82,541.22
4525683884,1612.93,1903.91
4525683886,1630.32,1899.21
4525683887,1639.0,1896.09
4525683891,2016.14,1865.34
4539053919,1397.64,1147.14
4833227610,2087.6,2128.76
4864772094,2379.5,2423.93
4864772095,2381.3,2406.07
4864772556,2661.89,2420.72
4864772562,2444.0,2423.16
4864772563,2445.96,2405.09
4864772578,2539.93,2422.1
4864772579,2539.88,2403.53
4868177053,2689.85,1386.07
4868177064,2628.56,1313.38
4868177065,2632.36,1328.26
4868177068,2644.78,1374.16
4990873832,37.23,567.57
4990873849,998.83,391.12
4990873850,1038.03,338.86
4990873853,1028.56,281.18
4990873855,955.5,352.48
5051797719,2386.42,198.35
5051817830,2679.99,155.23
5051817834,2655.45,161.33
5141525247,329.12,1578.37
