episode,total_reward,mean_loss,mean_wait,mean_q,epsilon,num_edges,num_lanes,total_lane_length
1,-13.7403,0.000000,1.77,0.008,1.0000,6934,8331,262213.34
2,-11.5705,0.000000,1.05,0.006,0.9950,6934,8331,262213.34
3,-9.8577,0.000000,2.36,0.007,0.9900,6934,8331,262213.34
4,-10.4929,0.000000,2.22,0.006,0.9851,6934,8331,262213.34
5,-12.2164,0.000000,1.92,0.007,0.9801,6934,8331,262213.34
6,-11.1714,0.000000,2.22,0.006,0.9752,6934,8331,262213.34
7,-10.8892,0.086439,1.99,-0.010,0.9704,6934,8331,262213.34
8,-11.4898,0.076165,2.53,-0.430,0.9655,6934,8331,262213.34
9,-13.1305,0.056853,1.82,-1.042,0.9607,6934,8331,262213.34
10,-13.8760,0.056234,0.95,-1.479,0.9559,6934,8331,262213.34
11,-13.7015,0.054084,2.02,-1.392,0.9511,6934,8331,262213.34
12,-11.2771,0.052058,1.77,-1.286,0.9464,6934,8331,262213.34
13,-12.9629,0.050057,2.09,-1.156,0.9416,6934,8331,262213.34
14,-11.6675,0.049413,1.41,-1.098,0.9369,6934,8331,262213.34
15,-12.3020,0.047767,2.19,-0.933,0.9322,6934,8331,262213.34
16,-14.3923,0.046865,1.62,-0.919,0.9276,6934,8331,262213.34
17,-13.1947,0.045982,1.59,-0.844,0.9229,6934,8331,262213.34
18,-12.7634,0.047095,1.64,-0.916,0.9183,6934,8331,262213.34
19,-12.8502,0.048331,1.77,-1.034,0.9137,6934,8331,262213.34
20,-10.8078,0.048237,1.39,-1.087,0.9092,6934,8331,262213.34
21,-12.3299,0.047315,2.27,-1.092,0.9046,6934,8331,262213.34
22,-13.4913,0.047558,1.50,-1.115,0.9001,6934,8331,262213.34
23,-11.3087,0.047197,1.91,-1.083,0.8956,6934,8331,262213.34
24,-11.7128,0.044938,1.45,-0.947,0.8911,6934,8331,262213.34
25,-13.0838,0.043293,1.54,-0.854,0.8867,6934,8331,262213.34
26,-12.8759,0.043475,1.60,-0.877,0.8822,6934,8331,262213.34
27,-12.6474,0.043449,2.30,-0.831,0.8778,6934,8331,262213.34
28,-11.5278,0.042356,2.34,-0.707,0.8734,6934,8331,262213.34
29,-12.4748,0.042476,1.71,-0.718,0.8691,6934,8331,262213.34
30,-11.3094,0.042038,1.96,-0.748,0.8647,6934,8331,262213.34
31,-13.0097,0.041211,1.32,-0.723,0.8604,6934,8331,262213.34
32,-11.3138,0.040925,2.05,-0.661,0.8561,6934,8331,262213.34
33,-11.8859,0.040588,1.94,-0.698,0.8518,6934,8331,262213.34
34,-13.2844,0.039940,1.48,-0.557,0.8475,6934,8331,262213.34
35,-11.0820,0.038980,2.17,-0.453,0.8433,6934,8331,262213.34
36,-11.2156,0.038592,1.99,-0.378,0.8391,6934,8331,262213.34
37,-11.1411,0.038032,1.67,-0.231,0.8349,6934,8331,262213.34
38,-12.2243,0.037711,1.46,-0.111,0.8307,6934,8331,262213.34
39,-10.4743,0.038110,2.30,-0.018,0.8266,6934,8331,262213.34
40,-10.7942,0.038057,1.84,0.066,0.8224,6934,8331,262213.34
41,-11.7403,0.037899,1.61,0.218,0.8183,6934,8331,262213.34
42,-11.9148,0.038182,1.79,0.367,0.8142,6934,8331,262213.34
43,-12.1529,0.038902,1.31,0.558,0.8102,6934,8331,262213.34
44,-9.8905,0.040760,1.64,0.778,0.8061,6934,8331,262213.34
45,-8.7128,0.042363,2.01,0.983,0.8021,6934,8331,262213.34
46,-11.6506,0.044837,1.61,1.187,0.7981,6934,8331,262213.34
47,-11.6675,0.045203,1.81,1.226,0.7941,6934,8331,262213.34
48,-11.2179,0.046148,2.09,1.303,0.7901,6934,8331,262213.34
49,-9.9268,0.044551,1.87,1.244,0.7862,6934,8331,262213.34
50,-10.9730,0.045749,2.68,1.315,0.7822,6934,8331,262213.34
51,-12.6366,0.046904,2.29,1.361,0.7783,6934,8331,262213.34
52,-12.2183,0.045496,2.55,1.297,0.7744,6934,8331,262213.34
53,-12.1140,0.045721,2.06,1.298,0.7705,6934,8331,262213.34
54,-10.5299,0.044286,1.95,1.219,0.7667,6934,8331,262213.34
55,-10.9675,0.042624,2.36,1.090,0.7629,6934,8331,262213.34
56,-10.5820,0.038500,1.73,0.338,0.7590,6934,8331,262213.34
57,-10.1380,0.039153,1.57,-0.486,0.7553,6934,8331,262213.34
58,-9.4309,0.040309,1.92,-0.625,0.7515,6934,8331,262213.34
59,-9.4792,0.039266,2.09,-0.602,0.7477,6934,8331,262213.34
60,-8.8612,0.038068,2.18,-0.413,0.7440,6934,8331,262213.34
61,-8.3263,0.037687,2.69,-0.357,0.7403,6934,8331,262213.34
62,-10.6451,0.037577,2.55,-0.413,0.7366,6934,8331,262213.34
63,-12.1378,0.037476,2.12,-0.358,0.7329,6934,8331,262213.34
64,-12.9028,0.037722,1.92,-0.260,0.7292,6934,8331,262213.34
65,-10.1846,0.037152,2.41,-0.221,0.7256,6934,8331,262213.34
66,-10.7393,0.037471,2.39,-0.269,0.7219,6934,8331,262213.34
67,-9.5595,0.037612,2.11,-0.187,0.7183,6934,8331,262213.34
68,-12.4831,0.037242,1.71,-0.158,0.7147,6934,8331,262213.34
69,-11.2887,0.037127,1.74,-0.022,0.7112,6934,8331,262213.34
70,-10.9900,0.037068,2.73,0.042,0.7076,6934,8331,262213.34
71,-11.2296,0.037281,2.44,0.161,0.7041,6934,8331,262213.34
72,-14.0931,0.037067,1.49,0.183,0.7005,6934,8331,262213.34
73,-9.3727,0.037478,2.08,0.138,0.6970,6934,8331,262213.34
74,-10.4243,0.037405,1.25,0.277,0.6936,6934,8331,262213.34
75,-10.3083,0.037104,1.53,0.282,0.6901,6934,8331,262213.34
76,-12.0353,0.037386,2.61,0.389,0.6866,6934,8331,262213.34
77,-9.4866,0.038213,1.97,0.434,0.6832,6934,8331,262213.34
78,-10.0985,0.038253,2.01,0.503,0.6798,6934,8331,262213.34
79,-8.6033,0.039160,2.05,0.598,0.6764,6934,8331,262213.34
80,-9.7276,0.040418,2.31,0.724,0.6730,6934,8331,262213.34
81,-9.0181,0.044501,1.88,1.043,0.6696,6934,8331,262213.34
82,-9.9302,0.048761,2.32,1.396,0.6663,6934,8331,262213.34
83,-9.9086,0.055824,1.91,1.777,0.6630,6934,8331,262213.34
84,-9.3287,0.070415,1.70,2.342,0.6597,6934,8331,262213.34
85,-10.4472,0.096258,2.42,3.051,0.6564,6934,8331,262213.34
86,-9.5722,0.101861,2.56,3.164,0.6531,6934,8331,262213.34
87,-9.1680,0.097314,1.49,3.248,0.6498,6934,8331,262213.34
88,-10.9791,0.100792,1.73,3.311,0.6466,6934,8331,262213.34
89,-9.9951,0.095278,1.64,3.151,0.6433,6934,8331,262213.34
90,-9.2757,0.071677,2.12,2.403,0.6401,6934,8331,262213.34
91,-8.8940,0.070222,1.60,2.388,0.6369,6934,8331,262213.34
92,-10.9425,0.068763,1.87,2.219,0.6337,6934,8331,262213.34
93,-11.2252,0.064346,1.49,2.100,0.6306,6934,8331,262213.34
94,-11.6358,0.057263,2.89,1.779,0.6274,6934,8331,262213.34
95,-11.3158,0.055664,1.57,1.759,0.6243,6934,8331,262213.34
96,-10.7383,0.053937,2.72,1.734,0.6211,6934,8331,262213.34
97,-10.2592,0.049666,2.76,1.469,0.6180,6934,8331,262213.34
98,-10.6510,0.049628,1.22,1.394,0.6149,6934,8331,262213.34
99,-9.9561,0.049736,1.21,1.484,0.6119,6934,8331,262213.34
100,-10.4037,0.050733,1.79,1.502,0.6088,6934,8331,262213.34
101,-8.6039,0.050857,2.40,1.498,0.6058,6934,8331,262213.34
102,-9.9581,0.049671,2.33,1.485,0.6027,6934,8331,262213.34
103,-9.5797,0.047685,2.46,1.268,0.5997,6934,8331,262213.34
104,-8.4225,0.052530,1.19,1.658,0.5967,6934,8331,262213.34
105,-10.4525,0.056132,1.89,1.798,0.5937,6934,8331,262213.34
106,-9.8346,0.059883,1.68,1.896,0.5908,6934,8331,262213.34
107,-9.6256,0.059590,2.08,1.980,0.5878,6934,8331,262213.34
108,-8.7743,0.060780,2.27,2.074,0.5849,6934,8331,262213.34
109,-8.9543,0.063551,2.58,2.195,0.5820,6934,8331,262213.34
110,-9.7575,0.061124,2.56,1.948,0.5790,6934,8331,262213.34
111,-9.5530,0.062540,2.71,2.029,0.5762,6934,8331,262213.34
112,-10.6590,0.066018,2.67,2.244,0.5733,6934,8331,262213.34
113,-11.4502,0.068720,1.92,2.229,0.5704,6934,8331,262213.34
114,-9.5206,0.059211,3.00,1.927,0.5676,6934,8331,262213.34
115,-10.6122,0.061630,2.99,2.097,0.5647,6934,8331,262213.34
116,-10.1377,0.062210,1.70,1.970,0.5619,6934,8331,262213.34
117,-10.6883,0.069519,2.34,2.321,0.5591,6934,8331,262213.34
118,-7.6969,0.070098,2.12,2.496,0.5563,6934,8331,262213.34
119,-10.3785,0.073828,2.68,2.463,0.5535,6934,8331,262213.34
120,-10.2555,0.076037,1.56,2.556,0.5507,6934,8331,262213.34
121,-10.2595,0.076182,1.94,2.538,0.5480,6934,8331,262213.34
122,-9.5441,0.078990,1.89,2.670,0.5452,6934,8331,262213.34
123,-7.3111,0.087311,1.46,2.871,0.5425,6934,8331,262213.34
124,-7.8352,0.090564,1.96,3.024,0.5398,6934,8331,262213.34
125,-11.9574,0.102479,1.70,3.242,0.5371,6934,8331,262213.34
126,-12.1710,0.097292,1.95,3.223,0.5344,6934,8331,262213.34
127,-8.3745,0.097784,1.82,3.293,0.5318,6934,8331,262213.34
128,-10.5338,0.110274,2.10,3.521,0.5291,6934,8331,262213.34
129,-9.8862,0.114218,1.99,3.560,0.5264,6934,8331,262213.34
130,-11.5160,0.126969,1.70,3.870,0.5238,6934,8331,262213.34
131,-9.3826,0.117727,2.43,3.782,0.5212,6934,8331,262213.34
132,-5.9792,0.136984,3.18,4.325,0.5186,6934,8331,262213.34
133,-8.4743,0.150158,2.44,4.313,0.5160,6934,8331,262213.34
134,-10.2424,0.145295,2.45,4.106,0.5134,6934,8331,262213.34
135,-8.0714,0.138667,1.62,4.127,0.5108,6934,8331,262213.34
