old_path,new_path,action,reason,owner,status
courses/multimedia_information_system/homework/hw1_dft_filter/DFT_filter/b_DFT_IDFT.wav,courses/multimedia_information_system/homework/hw1_dft_filter/DFT_filter/b_dft_idft.wav,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw1_dft_filter/DFT_filter/Nello.wav,courses/multimedia_information_system/homework/hw1_dft_filter/DFT_filter/nello.wav,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw1_dft_filter/DFT_filter/B1128019HW1_DFTfilter.ipynb,courses/multimedia_information_system/homework/hw1_dft_filter/DFT_filter/b1128019_hw1_dftfilter.ipynb,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/LoRA_r___32_____.csv,courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/lo_ra_r_32.csv,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/LoRA_r___4_____.csv,courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/lo_ra_r_4.csv,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/LoRA_r___8_____.csv,courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/lo_ra_r_8.csv,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/Baseline_vs_LoRA_Comparison.csv,courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/baseline_vs_lo_ra_comparison.csv,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/Single-Task_LoRA_Results.csv,courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/single_task_lo_ra_results.csv,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/_____vs________.csv,courses/natural_language_processing/homework/nlp_hw4_b1128019/csv/vs.csv,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Validation Loss over Epochs.png,courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/validation_loss_over_epochs.png,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Spearman Correlation: Baseline vs LoRA.png,courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/spearman_correlation_baseline_vs_lo_ra.png,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Classification Accuracy: Baseline vs LoRA.png,courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/classification_accuracy_baseline_vs_lo_ra.png,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Classification F1 Score: Baseline vs LoRA.png,courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/classification_f1_score_baseline_vs_lo_ra.png,move,round3_filename_normalization,hjc,applied
"courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Accuracy vs Epoch (LoRA r=4,8,16,32).png",courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/accuracy_vs_epoch_lo_ra_r_4_8_16_32.png,move,round3_filename_normalization,hjc,applied
"courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/F1 Score vs Epoch (LoRA r=4,8,16,32).png",courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/f1_score_vs_epoch_lo_ra_r_4_8_16_32.png,move,round3_filename_normalization,hjc,applied
"courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Spearman Correlation vs Epoch (LoRA r=4,8,16,32).png",courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/spearman_correlation_vs_epoch_lo_ra_r_4_8_16_32.png,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/Spearman Correlation: Single-task vs Multi-task.png,courses/natural_language_processing/homework/nlp_hw4_b1128019/figures/spearman_correlation_single_task_vs_multi_task.png,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-s.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_s.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi-static-15303381.err,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi_static_15303381.err,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi-dynamic-15303382.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi_dynamic_15303382.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/serial-15303380.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/serial_15303380.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job-t3-mpi-dynamic.dat,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job_t3_mpi_dynamic.dat,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-omp.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_omp.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb(mpi-static).png,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb_mpi_static.png,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/serial-15303380.err,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/serial_15303380.err,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi-dynamic-15303382.err,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi_dynamic_15303382.err,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job-t3-serial.dat,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job_t3_serial.dat,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb(serial).png,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb_serial.png,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi-static-15303381.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mpi_static_15303381.out,move,round3_filename_normalization,hjc,applied
