file_path,status,sensitivity,topic,owner,target_path,next_action,review_date
worklist/README.md,intake,internal,,hjc,,triage,2026-02-08
worklist/drafting/legacy_import/AIoT Exercise.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/BioinfoHomework1.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/CodeBaseFromQlearningTraffic.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/Data mining-Hw-1.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/EDA.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/Homework2_B1128019.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/Meeting.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/NLP_HW1_B1128019.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/NLP_HW3_B1128019.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/PPD_Final_Project.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/PPD_Final_Project.pdf,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/PPD_HW1_report.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/PPD_HW2_report.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/Self-learning.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/Test.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/bio_hw4.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/dmHW2.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/專題核銷.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/專題流程圖.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/流程圖.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/生物資訊學第五次作業.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/逐字稿final_AdvancedAI.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/drafting/legacy_import/逐字稿finalproject_sumo.md,drafting,internal,,hjc,,refine_content,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250427180947.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250427181410.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250520215407.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523012606.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523013413.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523013459.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523013838.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523013843.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523013857.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523013906.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523015257.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523015341.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250523015358.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250529023705.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
